NO_OF_SAMPLES	402
FREQUENCY	100
TIME_STAMP	2019-10-17, 15:22:40	106860.80024563
FIRST_SAMPLE	95
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1135.569946
FORCE_PLATE_CORNER_POSX_POSY_Y	564.732971
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1128.060059
FORCE_PLATE_CORNER_NEGX_POSY_Y	106.624001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	625.776978
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.992996
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	633.607971
FORCE_PLATE_CORNER_POSX_NEGY_Y	574.497986
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
95	0.94000	-0.170111	-5.732338	4.104630	0.328940	0.069490	-0.041035	0.000000	0.000000	0.000000	
96	0.95000	-0.124858	-5.755163	4.106930	0.310518	0.023543	-0.013635	0.000000	0.000000	0.000000	
97	0.96000	-0.101630	-5.755113	4.194327	0.328907	0.014658	-0.027504	0.000000	0.000000	0.000000	
98	0.97000	-0.237053	-5.755476	4.369686	0.255664	0.004734	-0.009139	0.000000	0.000000	0.000000	
99	0.98000	-0.168958	-5.733498	4.368054	0.283030	0.087249	-0.031777	0.000000	0.000000	0.000000	
100	0.99000	-0.237454	-5.755344	4.281276	0.255814	0.032267	-0.027419	0.000000	0.000000	0.000000	
101	1.00000	-0.169375	-5.709570	4.193185	0.310753	0.023690	-0.036618	0.000000	0.000000	0.000000	
102	1.01000	-0.101098	-5.732625	4.281299	0.347102	0.023898	-0.027458	0.000000	0.000000	0.000000	
103	1.02000	-0.033825	-5.756317	4.193710	0.319528	0.105869	-0.031702	0.000000	0.000000	0.000000	
104	1.03000	-0.123800	-5.800906	4.369286	0.310648	0.032814	-0.041305	0.000000	0.000000	0.000000	
105	1.04000	-0.145882	-5.687944	4.367581	0.310506	0.078386	-0.036380	0.000000	0.000000	0.000000	
106	1.05000	-0.056903	-5.846430	4.195238	0.292385	0.050988	-0.041241	0.000000	0.000000	0.000000	
107	1.06000	-0.191641	-5.687046	4.278903	0.356294	0.060526	-0.041062	0.000000	0.000000	0.000000	
108	1.07000	-0.170970	-5.732474	3.931214	0.255835	0.059714	-0.022615	0.000000	0.000000	0.000000	
109	1.08000	-0.101707	-5.801266	4.281572	0.310468	0.069258	-0.031923	0.000000	0.000000	0.000000	
110	1.09000	-0.171305	-5.799575	3.931506	0.319868	0.005461	-0.022945	0.000000	0.000000	0.000000	
111	1.10000	-0.168863	-5.687412	4.281357	0.283194	0.023353	-0.022790	0.000000	0.000000	0.000000	
112	1.11000	-0.056519	-5.846626	4.284139	0.283038	0.014192	-0.013792	0.000000	0.000000	0.000000	
113	1.12000	-0.100681	-5.733244	4.368284	0.310657	0.069391	-0.050279	0.000000	0.000000	0.000000	
114	1.13000	-0.146807	-5.800613	4.282979	0.265074	-0.004077	-0.032234	0.000000	0.000000	0.000000	
115	1.14000	-0.169914	-5.732979	4.191036	0.346979	0.124334	-0.040812	0.000000	0.000000	0.000000	
116	1.15000	-0.101310	-5.755773	4.282669	0.292182	0.023372	-0.013658	0.000000	0.000000	0.000000	
117	1.16000	-0.169952	-5.665088	4.104390	0.319379	0.105656	-0.008575	0.000000	0.000000	0.000000	
118	1.17000	-0.147051	-5.686980	4.105690	0.319748	0.032804	-0.022731	0.000000	0.000000	0.000000	
119	1.18000	-0.101872	-5.709859	4.105286	0.347124	0.060466	-0.031849	0.000000	0.000000	0.000000	
120	1.19000	-0.125353	-5.800925	4.106769	0.310331	0.059986	-0.008918	0.000000	0.000000	0.000000	
121	1.20000	-0.102116	-5.687395	4.018309	0.292383	0.069198	-0.031757	0.000000	0.000000	0.000000	
122	1.21000	-0.127026	-5.822590	3.756257	0.301601	0.060186	-0.031903	0.000000	0.000000	0.000000	
123	1.22000	-0.123815	-5.664458	4.191883	0.365411	0.060613	-0.036422	0.000000	0.000000	0.000000	
124	1.23000	-0.147343	-5.846053	4.281901	0.319649	0.032780	-0.027531	0.000000	0.000000	0.000000	
