NO_OF_SAMPLES	144
FREQUENCY	100
TIME_STAMP	2019-10-17, 14:53:47	105128.35029187
FIRST_SAMPLE	1409
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	519.708008
FORCE_PLATE_CORNER_POSX_POSY_Y	471.890015
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	517.812012
FORCE_PLATE_CORNER_NEGX_POSY_Y	14.711200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	13.237100
FORCE_PLATE_CORNER_NEGX_NEGY_Y	18.357599
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.436701
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.112000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1409	14.08000	1.247983	0.672198	3.621955	0.205606	0.453278	-0.102202	0.000000	0.000000	0.000000	
1410	14.09000	1.337463	0.718784	3.174501	0.196505	0.444585	-0.116235	0.000000	0.000000	0.000000	
1411	14.10000	1.384737	0.717954	3.712031	0.196491	0.489737	-0.097968	0.000000	0.000000	0.000000	
1412	14.11000	1.340589	0.649025	4.248836	0.196640	0.471242	-0.097799	0.000000	0.000000	0.000000	
1413	14.12000	1.294541	0.626194	3.801697	0.214541	0.480439	-0.083916	0.000000	0.000000	0.000000	
1414	14.13000	1.340206	0.671886	4.159649	0.169371	0.471044	-0.093216	0.000000	0.000000	0.000000	
1415	14.14000	1.293875	0.603935	3.711890	0.205538	0.453306	-0.102278	0.000000	0.000000	0.000000	
1416	14.15000	1.363304	0.626449	4.248725	0.205765	0.453186	-0.102426	0.000000	0.000000	0.000000	
1417	14.16000	1.295117	0.580534	4.070079	0.214600	0.480422	-0.093081	0.000000	0.000000	0.000000	
1418	14.17000	1.293159	0.581576	3.443299	0.214465	0.480973	-0.120686	0.000000	0.000000	0.000000	
1419	14.18000	1.340548	0.535243	4.160261	0.169241	0.443691	-0.088543	0.000000	0.000000	0.000000	
1420	14.19000	0.910788	0.078591	9.537260	-1.010253	0.479739	-0.238895	-54.565920	-106.613304	0.000000	
1421	14.20000	-9.685380	-11.608669	256.884535	-47.386447	0.168282	-2.016251	0.426219	-183.007964	0.000000	
1422	14.21000	7.467087	17.975972	244.396340	-42.351083	-0.782230	2.073587	1.542701	-176.595940	0.000000	
1423	14.22000	15.325495	33.748201	270.536485	-48.041260	-1.875407	2.891574	4.226960	-182.939635	0.000000	
1424	14.23000	10.761011	74.046940	301.572478	-52.292171	-2.061468	2.169859	4.971900	-183.607810	0.000000	
1425	14.24000	5.948490	72.987359	322.951847	-55.481473	-1.842774	1.111112	4.535038	-181.220339	0.000000	
1426	14.25000	8.912734	48.061416	355.086831	-61.975882	-1.999334	1.299497	4.191429	-180.324772	0.000000	
1427	14.26000	7.265287	43.378658	383.680388	-66.823120	-1.915386	0.869530	3.800410	-179.056399	0.000000	
1428	14.27000	0.330123	56.545592	405.150014	-68.765560	-1.362400	-0.277616	2.898206	-175.685342	0.000000	
